year,half_year,count,mean,ci_lower,ci_upper
2021,H1,24909,13.495282829499377,13.32229258905148,13.668273069947274
2021,H2,25661,15.004130782120727,14.79818890481812,15.210072659423334
2022,H1,25811,12.119910115842083,11.941077480816121,12.298742750868046
2022,H2,21240,12.883521657250471,12.661077451644612,13.10596586285633
2023,H1,21547,9.74363020374066,9.551086412899934,9.936173994581385
2023,H2,17023,13.41073841273571,13.129385096323759,13.692091729147663
2024,H1,18533,17.725894350617818,17.41873662102744,18.033052080208197
2024,H2,7279,20.885698584970463,20.347702000645373,21.423695169295552
2025,H1,2575,28.001941747572815,27.039487779297783,28.964395715847846
