year,month,count,mean,ci_lower,ci_upper
2021,1,179622,0.5033737515449109,0.5010614878901084,0.5056858708983422
2021,2,119734,0.5433878430520989,0.5405650740475494,0.5462078280977867
2021,3,122090,0.5429109673191908,0.54011536262996,0.545703871778632
2021,4,108147,0.5406714934302385,0.5377000133941492,0.543640084207861
2021,5,112890,0.5586234387456817,0.5557249189719717,0.5615179689390397
2021,6,99959,0.5484048459868546,0.5453179930626583,0.551487978624195
2021,7,101970,0.5568696675492792,0.5538186031060033,0.5599164473155653
2021,8,91774,0.5479220694314294,0.5447001419423051,0.5511399852625457
2021,9,96363,0.5533140313190748,0.5501730501911767,0.5564507619464317
2021,10,106306,0.5501947209000433,0.547202488990758,0.5531833252815154
2021,11,97155,0.544737790129175,0.5416046717421958,0.5478673708375255
2021,12,101434,0.5432793737799949,0.5402123494564457,0.5463431201171483
2022,1,123103,0.5071606703329732,0.5043676943158529,0.5099531994631473
2022,2,74975,0.5525175058352785,0.5489557175501437,0.5560739127666311
2022,3,77153,0.5515793293844699,0.5480675640416315,0.55508595869877
2022,4,72474,0.5501559179843806,0.546531501171587,0.5537750180854821
2022,5,83893,0.5665311766178346,0.5631748774221553,0.5698813831699571
2022,6,87645,0.5841862057162417,0.5809196414864577,0.5874453905480292
2022,7,68335,0.5505231579717568,0.546790772829733,0.5542498631043833
2022,8,71053,0.5522497290754789,0.5485906958485496,0.5559031128764411
2022,9,77324,0.5610677150690601,0.5575669479004912,0.5645624148469379
2022,10,77166,0.5689034030531581,0.5654059074522669,0.5723940387310423
2022,11,83937,0.5478632784111893,0.5444941702286774,0.5512280057747854
2022,12,77863,0.5550518217895535,0.5515585593964237,0.5585396523633762
2023,1,120923,0.5019392505974877,0.4991211079785869,0.5047572700088157
2023,2,72432,0.5626104484205876,0.5589946133646131,0.5662196426906057
2023,3,84612,0.5646125845033801,0.5612689653575152,0.5679503369798747
2023,4,77410,0.5680919777806485,0.5645992535932136,0.5715779441965083
2023,5,81349,0.574008285289309,0.5706068044111645,0.5774027768656607
2023,6,87128,0.582591130291066,0.5793131572362725,0.585861820808944
2023,7,72964,0.5743243243243243,0.5707328394839409,0.5779079834205015
2023,8,76076,0.5895157474104843,0.5860157250931538,0.59300672998612
2023,9,75175,0.6013302294645826,0.5978250849434716,0.6048250185214106
2023,10,81222,0.6071630838935264,0.6037994001651086,0.6105166313754866
2023,11,85003,0.5942378504288084,0.5909326533101736,0.5975345303312859
2023,12,82007,0.6062043484092822,0.602855437993772,0.6095433094175254
2024,1,148926,0.5689604232974766,0.5664435348109884,0.571473754288385
2024,2,95596,0.621542742374158,0.6184634329723847,0.6246122839471847
2024,3,107512,0.642328298236476,0.6394581553107027,0.645188270599674
2024,4,106441,0.6150543493578602,0.6121271039100136,0.6179732904757056
2024,5,108646,0.6378605747105278,0.634997879895626,0.6407135210395849
2024,6,101805,0.6448013358872354,0.6418561606766293,0.6477355837881693
2024,7,97578,0.6391194736518477,0.636100733905068,0.6421272600958162
2024,8,92837,0.6340898564150069,0.6309858768355494,0.637182739570658
2024,9,75583,0.6484262334122752,0.6450148858620648,0.6518224943878237
2024,10,94130,0.6506108573249761,0.6475589808513772,0.6536504413987879
2024,11,94313,0.6549786349707888,0.6519384947087474,0.6580061508905575
2024,12,97861,0.6724844422190658,0.6695373626798528,0.6754179807997053
2025,1,102006,0.6649608846538438,0.662058170421019,0.6678511747825556
2025,2,63466,0.7154854567800082,0.7119623103928295,0.7189825190147877
2025,3,64977,0.7194237961124705,0.7159563952155389,0.7228652537480308
2025,4,65152,0.7416195972495089,0.7382441414534155,0.7449665622238333
2025,5,56336,0.7371307867083216,0.7334797663990051,0.7407494701090251
2025,6,28319,0.7470955895335287,0.7419996870137583,0.7521244643482331
2025,7,62,0.6451612903225806,0.5208113075778423,0.752572671489501
2025,8,8,0.375,0.13684428582359742,0.6942576053973727
2025,9,65,0.5692307692307692,0.4483297467424586,0.6824054258436073
2025,10,19,0.3684210526315789,0.19149512745135075,0.5896046683519692
2025,11,1,1.0,0.20654931437723745,1.0
2025,12,28,0.6428571428571429,0.4583030651442781,0.7929417049226233
