count,mean,ci_lower,ci_upper,ci_width,fisher_info,se,ci_method,warning,year,half_year
183,0.17531974039430978,0.10727969512037326,0.2733017609367899,0.1660220658164166,564.7143528655934,0.04208095497334602,fisher_logit,none,2025,H2
455755,0.0504848308213688,0.04949439100388793,0.05149401673351158,0.001999625729623651,3843293.910793215,0.0005100916344104317,fisher_logit,none,2022,H2
703501,0.1697316279322043,0.16782237565302685,0.17165812057346033,0.0038357449204334815,1044385.6056861888,0.0009785196724120843,fisher_logit,none,2025,H1
552383,0.15141935973544587,0.1498606149080151,0.15299139983958168,0.0031307849315665714,1567669.9181916362,0.0007986797762564843,fisher_logit,none,2024,H2
472752,0.08399642711179447,0.08271459881572231,0.08529627274938685,0.002581673933664541,2305554.1559163653,0.0006585857598427979,fisher_logit,none,2023,H2
523984,0.05612223567817013,0.055126183272425015,0.057135197077212554,0.002009013804787539,3807376.6142361546,0.0005124919888306471,fisher_logit,none,2023,H1
595075,0.047453830484835195,0.046612589801549545,0.0483094841507181,0.0016968943491685526,5336834.473887048,0.0004328706432371546,fisher_logit,none,2021,H2
669287,0.11792537821193094,0.11665276849933329,0.11920999771211593,0.002557229212782647,2349768.5185257327,0.0006523602034833458,fisher_logit,none,2024,H1
519454,0.04999388928495509,0.049071424232016714,0.05093276642337262,0.0018613421913559053,4435509.0677063735,0.0004748191916064929,fisher_logit,none,2022,H1
742647,0.04681245343667566,0.04606157977913221,0.04757495702038972,0.0015133772412575103,6709532.467786579,0.00038605916818457945,fisher_logit,none,2021,H1
