normalized_publisher,Disclosure Required,Not Mentioned,Open,Strict Prohibition
AB IMPERIO INC,0,1,0,0
ACAD CONFERENCES & PUBL INT LTD,1,0,0,0
AGH University of Science and Technology Press,0,1,0,0
AIP Publishing,0,10,0,0
AME Publishing Company,0,3,0,0
APPEAL Publishing Society,0,1,0,0
Academic & Scientific Publishers (ASP),0,1,0,0
Academy of Management,1,4,0,0
"Academy of Medicine, Singapore",0,1,0,0
Accscience Publishing,1,0,0,0
Acoustical Society of America,0,1,0,0
Acta Dermato-Venereologica,1,0,0,0
Adam Mickiewicz University Press,0,1,0,0
Akademiai Kiado,0,1,0,0
Alexander von Humboldt Institute for Internet and Society,0,1,0,0
Alliance Diamond Open Access Journals,0,1,0,0
Alpha Creation Enterprise,0,1,0,0
American Academy of Family Physicians,1,0,0,0
American Academy of Pediatrics,1,0,0,0
American Academy of Psychiatry and the Law,0,1,0,0
American Academy of Sleep Medicine,1,0,0,0
American Accounting Association,1,0,0,0
American Association for Cancer Research (AACR),7,0,0,0
American Association for the Advancement of Science (AAAS),12,3,0,0
American Association of Critical-Care Nurses,1,0,0,0
American Association of Neurological Surgeons,1,2,0,0
American Association on Intellectual and Developmental Disabilities (AAIDD),0,1,0,0
American Board of Family Medicine,0,1,0,0
American Chemical Society (ACS),31,18,0,0
American College of Physicians,0,1,0,0
American Dental Association,1,0,0,0
American Diabetes Association,2,0,0,0
American Economic Association,0,7,0,0
American Geophysical Union (AGU),16,0,0,0
American Institute of Aeronautics and Astronautics (AIAA),0,1,0,0
American Institute of Mathematical Sciences (AIMS),12,1,0,0
American Mathematical Society (AMS),2,3,0,0
American Medical Association (AMA),1,12,0,0
American Meteorological Society (AMS),2,1,0,0
American Museum of Natural History,0,1,0,0
American Occupational Therapy Association (AOTA),0,1,0,0
American Physical Society (APS),0,7,1,0
American Physiological Society,9,0,0,0
American Phytopathological Society (APS),0,2,0,0
American Psychiatric Association Publishing,1,1,0,0
American Psychological Association (APA),24,10,0,0
American Public Health Association,0,1,0,0
American Roentgen Ray Society,1,0,0,0
American Society for Cell Biology (ASCB),0,1,0,0
American Society for Clinical Investigation (ASCI),2,0,0,0
American Society for Engineering Education,1,0,0,0
American Society for Microbiology (ASM),6,0,0,0
American Society for Pharmacology and Experimental Therapeutics (ASPET),1,1,0,0
American Society of Civil Engineers (ASCE),3,3,0,0
American Society of Hematology,0,1,0,1
American Society of Mechanical Engineers (ASME),0,1,0,0
American Society of Nephrology (ASN),1,2,0,0
American Society of Neuroradiology,1,0,0,0
American Speech-Language-Hearing Association (ASHA),1,2,0,0
American Spinal Injury Association,0,1,0,0
American Statistical Association (ASA),0,1,0,0
American Thoracic Society,2,1,0,0
Annals of Family Medicine,0,1,0,0
Annual Reviews,0,50,0,0
Asia-Pacific Academy of Ophthalmology (APAO),1,0,0,0
Asian-Australasian Association of Animal Production Societies,0,1,0,0
Asociación Española de Historia Económica,0,1,0,0
Asociación Iberoamericana de Educación Superior a Distancia (AIESAD),0,1,0,0
Association for Computing Machinery (ACM),13,2,0,0
Association for Information Systems (AIS),0,1,0,0
Association for Research in Vision and Ophthalmology (ARVO),1,0,0,0
Associazione Teriologica Italiana,0,1,0,0
Associação Brasileira de Pesquisa e Pós-Graduação em Fisioterapia,1,0,0,0
Associação Brasileira de Psiquiatria,0,1,0,0
Athabasca University Press,0,1,0,0
Atomic Spectroscopy Press,0,1,0,0
Australasian Society for Computers in Learning in Tertiary Education (ASCILITE),1,0,0,0
Australian Institute of Criminology,0,1,0,0
Australian National University,0,1,0,0
Australian Physiotherapy Association,1,0,0,0
Autonomous University of Madrid,0,1,0,0
BMJ,16,18,0,0
Baishideng Publishing Group,0,3,0,0
Bastas Publishing Ltd,0,1,0,0
Bentham Science Publishers,0,1,0,0
Berghahn Books,0,2,0,0
Biemdas Academic Publishers,0,1,0,0
BioScientifica,2,0,0,0
Bloomsbury Publishing,0,1,0,0
Boston University School of Law,0,1,0,0
Brazilian Society of Urology,0,1,0,0
Brill,0,12,0,0
Bristol University Press,0,2,0,0
British Agricultural History Society,0,1,0,0
British Institute of Radiology,1,0,0,0
Bucharest University of Economic Studies,0,1,0,0
C EJ Publishing Group,0,1,0,0
CSIRO Publishing,3,0,0,0
Cairo University,1,0,0,0
Cambridge University Press,3,106,0,0
Canadian Committee on Labour History,0,1,0,0
Canadian Medical Association,0,2,0,0
Canadian Ophthalmological Society,1,0,0,0
Canadian Psychological Association,1,0,0,0
Canadian Science Publishing,0,1,0,0
Centers for Disease Control and Prevention (CDC),1,4,0,0
Central South University,1,0,0,0
Centro de Estudios Políticos y Constitucionales,0,1,0,0
Centro de Estudios del Próximo Oriente y la Antigüedad Tardía,0,1,0,0
Cherkas Global University Press,0,1,0,0
China Anti-Cancer Association,0,1,0,0
China Electric Power Research Institute,0,1,0,0
China University of Geosciences (Beijing),1,0,0,0
China University of Geosciences (Wuhan),1,0,0,0
Chinese Academy of Medical Sciences,1,0,0,0
Chinese Academy of Sciences (CAS),0,1,0,0
Chinese Center for Disease Control and Prevention,0,1,0,0
Chinese Chemical Society,0,1,0,0
Chinese Journal of Cancer Research,0,1,0,0
Chinese Journal of Natural Medicines,0,1,0,0
Chinese Laser Press,0,0,0,1
Chinese Society for Immunology,0,1,0,0
Cleveland Clinic,0,1,0,0
Codon Publications,0,1,0,0
Cogitatio Press,2,0,0,0
Cold Spring Harbor Laboratory Press,0,4,0,0
Colegio Oficial de Psicólogos de Asturias,0,1,0,0
Colegio Oficial de Psicólogos de Madrid,0,2,0,0
College of American Pathologists,1,0,0,0
College of Family Physicians Canada,0,1,0,0
Columbia Journal of Transnational Law,0,2,0,0
Complutense University of Madrid,0,1,0,0
Copernicus Publications,1,13,0,0
Cornell Law Review,0,1,0,0
Council on Foreign Relations,0,1,0,0
Cracow University of Economics,0,1,0,0
Croatian Society of Medical Biochemistry and Laboratory Medicine,0,1,0,0
Cruse Bereavement Care,0,1,0,0
Czech Academy of Agricultural Sciences,0,1,0,0
Czech Botanical Society,0,1,0,0
De Gruyter,1,15,0,12
Deutscher Ärzte-Verlag,1,0,0,0
Duke University,0,1,0,0
Duke University Press,1,9,0,0
E. H. Angle Education and Research Foundation,0,1,0,0
E. Schweizerbart'sche Verlagsbuchhandlung,0,2,0,0
EDP Sciences,0,4,0,0
EMW Publishing,0,1,0,0
Ediciones Profesionales de la Información,0,1,0,0
Editura Academiei Române,0,1,0,0
Edizioni Minerva Medica,0,3,0,0
Edward Elgar Publishing,0,1,0,0
Element,0,1,0,0
Elsevier,1080,141,0,1
Emerald Group Publishing,0,63,0,4
Endocrine Society,1,1,0,0
Equinox Publishing,0,1,0,0
Esmon Publicidad S.A.,0,1,0,0
"Ethnicity & Disease, Inc.",0,1,0,0
Europa Edition,0,1,0,0
European Association of Geochemistry,0,2,0,0
European Centre for Disease Prevention and Control (ECDC),0,1,0,0
European Mathematical Society (EMS),1,10,0,0
European Research Center,0,1,0,0
European Respiratory Society,2,1,0,0
Federal Reserve Bank of St. Louis,0,1,0,0
Ferrata Storti Foundation,1,0,0,0
Finnish Society for Science and Technology Studies,0,1,0,0
Forum Multimedia Publishing,0,1,0,0
Foundation for Open Access Statistics,0,1,0,0
Foundation for Rehabilitation Information,0,1,0,0
Franz Steiner Verlag,0,2,0,0
French Centre for Research on Contemporary China,0,1,0,0
Frontiers,21,1,0,0
Fundação Getulio Vargas (FGV),0,1,0,0
Future Medicine,1,0,0,0
GESIS - Leibniz Institute for the Social Sciences,0,1,0,0
Gebrüder Borntraeger,0,1,0,0
GeoScienceWorld,1,0,0,0
Geological Society of America (GSA),0,2,0,0
Geological Survey of Denmark and Greenland,0,1,0,0
Geometry & Topology Publications,0,1,0,0
George Washington University,0,1,0,0
Georgetown Law Journal,0,1,0,0
Global Science Press,0,2,0,0
Guilford Press,0,1,0,0
Harborside Press,0,1,0,0
Harvard Business Publishing,0,1,0,0
Harvard Graduate School of Education,0,1,0,0
Harvard Law Review,0,1,0,0
Harvard-Yenching Institute,0,1,0,0
Hellenic Centre for Marine Research,0,1,0,0
Higher Education Press,6,0,0,0
Historia Sistemas Informativos,1,0,0,0
Historical Society of Southern Primorska,0,1,0,0
Hogrefe Publishing Group,0,1,0,0
Hong Kong Academy of Medicine Press,0,1,0,0
Human Kinetics,0,4,0,0
IEEE,77,30,0,0
IGI Global,2,2,0,0
INFORMS,0,5,0,0
IOP Publishing,7,23,0,0
IOS Press,2,0,0,0
IWA Publishing,1,0,0,0
Imprint Academic,0,1,0,0
Inderscience Publishers,1,0,0,0
Indiana Law Journal,0,1,0,0
Indiana University Mathematics Journal,0,1,0,0
Indiana University Press,0,1,0,0
Institute for Economic Research (Poland),0,1,0,0
"Institute for Market, Consumption and Business Cycles Research",0,1,0,0
Institute of Applied Mathematics,0,1,0,0
Institute of Mathematical Statistics,0,3,0,0
Institute of Mathematics and Informatics,0,1,0,0
Institute of Navigation (ION),1,0,0,0
Institute of Scientific Computing and Information,0,1,0,0
Inter-Research,0,2,0,0
International Council for Research and Innovation in Building and Construction (CIB),0,1,0,0
International Forum of Educational Technology & Society,1,0,0,0
International Press Editing Centre,0,1,0,0
International Press of Boston,0,4,0,0
International Rhinologic Society,0,1,0,0
International Scientific Research Publications,0,1,0,0
International Society for Bayesian Analysis,0,1,0,0
International Society for Environmental Information Sciences,0,1,0,0
International Society for Global Health,0,1,0,0
International Society on Aging and Disease (ISOAD),0,1,0,0
International Union Against Tuberculosis and Lung Disease,0,1,0,0
International Union of Crystallography (IUCr),1,2,0,0
Istituto Italiano di Antropologia,0,1,0,0
Ivan Franko Drohobych State Pedagogical University,0,1,0,0
Ivyspring International Publisher,3,0,0,0
JMIR Publications,0,8,0,0
Japan Epidemiological Association,0,1,0,0
Japan Neurosurgical Society,0,1,0,0
Japan Prosthodontic Society,0,1,0,0
Japanese Society for Hygiene,1,0,0,0
Japanese Society of Allergology,1,0,0,0
John Benjamins Publishing Company,3,5,0,0
Johns Hopkins University Press,5,6,0,0
Journal of Artificial Societies and Social Simulation (JASSS),0,1,0,0
Journal of Materials Science & Technology,1,0,0,0
Journal of Orthopaedic & Sports Physical Therapy (JOSPT),0,0,0,1
Karger Publishers,2,11,0,0
KeAi Publishing,39,4,0,0
Kerman University of Medical Sciences,0,1,0,0
Khayyam Publishing Co. Inc.,0,1,0,1
Korea Health Personnel Licensing Examination Institute,0,0,1,0
Korean Academy of Medical Sciences,0,1,0,0
Korean Academy of Prosthodontics,0,1,0,0
Korean Academy of Rehabilitation Medicine,0,1,0,0
Korean Association for the Study of the Liver,0,1,0,0
Korean Association of Orthodontists,0,1,0,0
Korean BioChip Society,1,0,0,0
Korean Diabetes Association,1,0,0,0
Korean Fiber Society,1,0,0,0
Korean Institute of Metals and Materials,1,0,0,0
Korean Nuclear Society,1,0,0,0
Korean Pediatric Society,0,1,0,0
Korean Society for Horticultural Science,1,0,0,0
Korean Society for Laboratory Medicine,0,1,0,0
Korean Society for Precision Engineering,1,0,0,0
Korean Society for Sexual Medicine and Andrology,0,1,0,0
Korean Society for the Study of Obesity,0,1,0,0
Korean Society of Anesthesiologists,0,1,0,0
Korean Society of Animal Sciences and Technology,0,1,0,0
Korean Society of Coloproctology,0,1,0,0
Korean Society of Ginseng,1,0,0,0
Korean Society of Gynecologic Oncology,0,1,0,0
Korean Society of Nephrology,0,1,0,0
Korean Society of Otorhinolaryngology-Head and Neck Surgery,0,1,0,0
Korean Society of Pediatric Endocrinology,0,1,0,0
Korean Society of Phycology,0,1,0,0
Korean Society of Radiology,1,0,0,0
Korean Spinal Neurosurgery Society,1,0,0,0
Korean Stroke Society,0,1,0,0
Laboratory of Knowledge and Intelligent Computing,0,1,0,0
Leibniz Research Centre for Working Environment and Human Factors (IfADo),0,1,0,0
Life Science Alliance,0,1,0,0
Linguistic Society of America,0,1,0,0
Liverpool University Press,0,1,0,0
MDPI,52,11,0,0
MIT Press,4,9,0,0
Magnolia Press,0,1,0,0
Managed Care & Healthcare Communications,0,1,0,0
"Mary Ann Liebert, Inc.",1,17,0,0
Masaryk University,1,0,0,0
Massachusetts Medical Society,1,0,0,0
Mathematical Research Press,0,1,0,0
Mathematical Sciences Publishers,0,2,0,0
Medical Journal of Sweden,1,0,0,0
Medical Library Association,1,0,0,0
Medycyna Praktyczna,0,1,0,0
Michigan Law Review,0,1,0,0
Michigan State University Press,0,1,0,0
Microbiology Society,1,0,0,0
Microtome Publishing,0,1,0,0
Ministry of Communications and High Technologies of the Republic of Azerbaijan,0,1,0,0
Minnesota Law Review,0,1,0,0
Mycosphere Press,0,1,0,0
National Academy of Sciences (NAS),1,0,0,0
National Athletic Trainers' Association (NATA),1,0,0,0
National Council of Teachers of Mathematics (NCTM),0,1,0,0
National Institute for Health and Care Research (NIHR),0,1,0,0
National Institute on Alcohol Abuse and Alcoholism (NIAAA),1,0,0,0
National Medical Association,1,0,0,0
National Mining University of Ukraine,0,1,0,0
Naturalis Biodiversity Center,0,1,0,0
New Left Review,0,1,0,0
New York Business Global,0,1,0,0
New York University School of Law,0,1,0,0
Northeast Forestry University,1,0,0,0
Northwestern University,0,1,0,0
Now Publishers,0,4,0,0
OAE Publishing,2,0,0,0
Old City Publishing,0,1,0,0
Omohundro Institute of Early American History and Culture,0,1,0,0
Online Learning Consortium,0,1,0,0
Optica Publishing Group,0,3,0,0
Oxbridge Publishing House,0,1,0,0
Oxford University Press,67,143,0,1
PAGEPress Publications,0,1,0,0
Pacific Affairs,0,1,0,0
Pacini Editore,1,0,0,0
PeerJ,0,1,0,0
Peking University Press,1,0,0,0
Pensoft Publishers,1,1,0,0
Pharmaceutical Society of Korea,1,0,0,0
Physicians Postgraduate Press,0,1,0,0
Polish Academy of Sciences,0,1,0,0
Polish Cardiac Society,0,1,0,0
Portland Press,0,3,0,0
Presses Universitaires de France,0,1,0,0
Princeton University,0,0,0,1
Project HOPE,0,1,0,0
Public Library of Science (PLoS),7,0,0,0
Quintessence Publishing,0,1,0,0
R Foundation for Statistical Computing,0,1,0,0
Radcliffe Cardiology,0,1,0,0
Radical Philosophy,0,1,0,0
Radiological Society of North America (RSNA),3,2,0,0
Ramazan Yaman,0,1,0,0
Regional Euro-Asian Biological Invasions Centre (REABIC),0,1,0,0
Resilience Alliance,0,1,0,0
Review of Communication Research,0,1,0,0
Rockefeller University Press,3,0,0,0
Royal College of General Practitioners,0,1,0,0
Royal College of Physicians of London,1,0,0,0
Royal Society,7,1,0,0
Royal Society of Chemistry (RSC),1,26,0,0
Russell Sage Foundation,0,1,0,0
Russian Academy of Sciences,0,3,0,0
SAGE Publishing,240,28,0,0
SEPM Society for Sedimentary Geology,0,1,0,0
SLACK Incorporated,0,1,0,0
SPIE,1,1,0,0
"Scandinavian Journal of Work, Environment & Health",0,1,0,0
SciPost Foundation,0,1,0,0
Science Press,13,3,0,0
Scuola Normale Superiore,0,1,0,0
Seismological Society of America (SSA),0,1,0,0
Senckenberg Natural History Collections Dresden,0,1,0,0
Shahid Beheshti University of Medical Sciences,0,1,0,0
Shahin Digital Publisher,0,1,0,0
Shanghai Jiao Tong University Press,1,0,0,0
Shanghai University,1,0,0,0
Shanghai University of Sport,1,0,0,0
Shenyang Pharmaceutical University,1,0,0,0
Slavica Publishers,0,1,0,0
Sociedad Española de Medicina de Urgencias y Emergencias (SEMES),0,1,0,0
Sociedad de Biología de Chile,1,0,0,0
Sociedade Brasileira de Ictiologia,0,1,0,0
Sociedade Brasileira de Pediatria,1,0,0,0
Society for Cultural Anthropology,0,1,0,0
Society for Industrial and Applied Mathematics (SIAM),9,1,0,0
Society for Information Management,0,1,0,0
Society for Learning Analytics Research (SoLAR),0,1,0,0
Society for Neuroscience,1,0,0,0
Society for Sociological Science,0,1,0,0
Society of Economic Geologists,0,1,0,0
Society of Exploration Geophysicists (SEG),0,1,0,0
Society of Nuclear Medicine and Molecular Imaging,0,1,0,0
Society of Petroleum Engineers (SPE),0,1,0,0
Société Mathématique de France,0,2,0,0
Société Vaudoise des Sciences Naturelles,0,1,0,0
Southern Historical Association,0,1,0,0
Spandidos Publications,1,1,0,0
Spanish National Research Council (CSIC),0,3,0,0
Springer Nature,652,128,0,3
Stanford Law School,0,1,0,0
State Grid Electric Power Research Institute,0,1,0,0
Taru Publications,1,0,0,0
Taylor & Francis,424,28,0,0
Technical University of Cluj-Napoca,0,1,0,0
Techno-Press,0,1,0,0
Termedia Publishing House,0,2,0,0
Texas Law Review,0,1,0,0
The British Editorial Society of Bone & Joint Surgery,3,0,0,0
The Chinese University of Hong Kong Press,0,1,0,0
The Company of Biologists,2,0,0,0
The Japan Academy,0,1,0,0
The Nonferrous Metals Society of China,1,0,0,0
The Oceanography Society,1,0,0,0
The Yale Law Journal,0,1,0,0
Thieme Medical Publishers,4,2,0,0
Thomson Reuters,0,1,0,0
Tomas Bata University in Zlín,0,1,0,0
Tsinghua University Press,7,1,0,0
Tuncer Acar,0,1,0,0
TÜBİTAK,0,1,0,0
U.S. Department of Health and Human Services,0,1,0,0
UCLA American Indian Studies Center,0,1,0,0
Ubiquity Press,1,2,0,0
Universidad Católica del Norte,0,1,0,0
Universidad Nacional de Educación a Distancia (UNED),0,1,0,0
Universitetsforlaget,1,1,0,0
"University of Agriculture, Faisalabad",0,1,0,0
University of Alicante,0,1,0,0
University of Almería,0,1,0,0
University of Bamberg Press,0,1,0,0
University of Barcelona,0,1,0,0
University of Belgrade,0,1,0,0
University of Bologna,0,1,0,0
University of COSTA,0,1,0,0
University of California,0,1,0,0
University of California Press,0,6,0,0
"University of California, Berkeley, School of Law",0,1,0,0
University of Chicago Law School,0,1,0,0
University of Chicago Press,0,21,1,0
University of Hawai'i National Foreign Language Resource Center,0,1,0,0
University of Hawai'i Press,0,1,0,0
University of Illinois Press,1,0,0,0
University of Kragujevac,0,2,0,0
University of Minnesota Press,0,1,0,0
University of Murcia,0,2,0,0
University of Navarra,0,1,0,0
University of New South Wales,0,1,0,0
University of Newcastle,0,1,0,0
University of Niš,0,1,0,0
University of North Carolina Press,0,2,0,0
University of Pennsylvania Press,0,2,0,0
University of Pittsburgh,0,1,0,0
University of Prešov,1,0,0,0
University of Santiago de Compostela,0,1,0,0
University of Sistan and Baluchestan,0,1,0,0
University of Szeged,0,1,0,0
University of Technology Sydney (UTS) ePRESS,0,1,0,0
University of Texas Press,0,2,0,0
University of Toronto Press,0,1,0,0
University of Windsor,0,1,0,0
University of Wisconsin Press,0,1,0,0
University of Wisconsin-Madison,0,1,0,0
University of Zagreb,0,2,0,0
Vanderbilt Law Review,0,1,0,0
Vasyl Stefanyk Precarpathian National University,0,1,0,0
Verein zur Förderung des Open Access Publizierens in den Quantenwissenschaften,0,1,0,0
Vietnam National University,1,0,0,0
Vilnius Gediminas Technical University,1,2,0,0
Vilnius University,0,2,0,0
Virginia Law Review,0,1,0,0
W. W. F. Verlagsgesellschaft,0,1,0,0
Wageningen Academic Publishers,0,1,0,0
Westerdijk Fungal Biodiversity Institute,0,1,0,0
White Horse Press,0,1,0,0
Wiley,493,46,0,0
Wolters Kluwer,36,53,0,0
World Health Organization (WHO),0,1,0,0
World Scientific,8,1,0,0
Wroclaw Medical University,0,1,0,0
Yale Journal on Regulation,0,1,0,0
Yandy Scientific Press,0,0,0,1
Yonsei University College of Medicine,0,1,0,0
Zhejiang University Press,3,1,0,0
"eLife Sciences Publications, Ltd",0,1,0,0
École Polytechnique,0,1,0,0
Österreichische Gesellschaft für Entomofaunistik,1,0,0,0
